galaxy_id,galaxy_ra,galaxy_dec,galaxy_z,galaxy_gmag,galaxy_rmag,galaxy_imag,galaxy_ellipticity,galaxy_PA,galaxy_Einstein_radius,galaxy_velocity_dispersion,galaxy_shear,galaxy_shearPA,source_x,source_y,source_gmag,source_rmag,source_imag,source_zmag,source_ymag,source_redshift,source_magnification,image_count
43158730493165003,150.02522070042187,2.066144742780452,0.64206094,23.88918,22.304403,21.114658,0.1266182769364706,-45.621298544739545,0.5885416121633664,181.77755397036506,0.0042381263007076585,179.58030012922387,-0.726523530743497,1.2518827707003515,23.90574552528908,23.545534938497862,23.347719489765637,23.311113595982274,23.232682057717565,2.6251613230868815,1.2481731874472393,2.0
44218114241468725,149.33206271249296,3.763197012486326,0.71163183,24.154572,22.545252,21.18383,0.2101873484701971,-55.00798618329122,0.614020294123954,197.515678537566,0.0017964334630518374,98.07393618164186,0.23047892919475924,0.15962138902398837,26.229599490026036,25.597324899211113,25.262842409406097,24.91619440414632,24.527134854684437,2.223851999888526,7.620004390406879,4.0
43154057568748100,149.03580179303634,2.1308842976553453,0.64052665,23.751564,22.035402,20.823505,0.1433738279926512,231.1686675733352,0.7723429492435967,201.7437378181459,0.01902012305167203,149.2273442964509,1.8184475271113052,-1.0816618427343339,26.388741046737735,25.095616861166555,24.826700721647263,24.63199256798304,24.63420788364847,3.315442529553616,1.999878678528494,2.0
42089884931885297,149.67029302007546,1.348379229510799,0.92310673,23.525146,21.947153,20.66643,0.01178996519943,-79.88397141227242,0.9436856839315424,246.6188721214514,0.007101194003813241,114.54464679788052,-0.535815439203278,-1.8447557820002116,23.423063550547123,23.79142623264993,23.577681401197594,23.421113177460843,23.42473820140854,3.275643338568999,1.9222720948585323,2.0
44222920309891057,150.33149987816256,3.583938992710319,0.9098724,23.682703,22.965263,22.01163,0.0424337453775074,-84.31141572852181,0.589831190284757,209.13208347238773,0.004954157153080673,103.80311915016243,-0.030078669179284263,1.2082109537258912,25.054800972508417,24.783124981017266,24.729560599988567,24.630770839411582,24.472855927673095,2.387122439056849,1.8389529984695279,2.0
43153774100895086,149.3435646660289,1.620919211607247,0.58194697,23.344189,22.122553,21.249863,0.2474567845852049,-55.05162470113095,0.6684720613837082,187.61904886733254,0.01683669854283932,112.09151264791277,-0.5756153711715447,1.4609089751119155,26.674046008325274,25.581551049422092,25.025819039370457,24.684785261945553,24.449647079303805,2.7876462161419995,1.221148980907742,2.0
44218243090514610,149.0712502231471,3.384897850047641,0.74230975,24.330568,22.580435,21.146763,0.2779754924111787,-57.55612547860108,0.5221015352131319,178.02950891931863,0.01670825233213954,61.00705817850902,0.04171432521060202,0.6145225178365952,24.72835040374548,24.19146216106219,23.974000118099188,24.041194065265415,23.928122015148276,2.6555482091595306,2.1698625974889065,2.0
43163012575545259,151.80358035830204,2.940677977510518,1.0352154,24.539547,23.501501,22.336374,0.1214932479279717,20.89418127740957,0.5163136739006589,182.87334238076232,0.004350901016303396,149.60538792879083,-0.5463331395654749,-0.2219862353689441,28.552721483167225,26.24672930598829,25.801608065928075,25.576251610636838,25.47365446003068,3.9734013646527124,2.9322070671054403,2.0
42687993487577163,351.149562060472,0.0973599962759809,0.9766347,24.90109,23.352037,22.129406,0.2995082773753286,262.18951922841575,0.5031890866876018,177.96061110994214,0.0160709867076743,104.31988207490099,0.4928683077466924,0.9284093592131754,28.006613630097878,25.66097183905163,25.062334695771714,24.854332113266,24.706676751769383,3.8786884030082818,1.2714866292194353,2.0
42697343631389676,353.36231734940696,0.4099227227122027,0.68582046,24.233114,22.647827,21.30012,0.0961358699048231,269.3841569345967,0.5473848120460019,175.01105435861385,0.011365053838582433,136.0702192040258,0.3795324259775352,-1.1133491676884728,23.93240595427123,23.542144597650196,23.397721934339792,23.337674411338067,23.39807600630318,2.975861678245114,1.6459730438969433,2.0
